epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
1,1.5347394575289963,0.5405191984996546,0.9591351845793312,0.6646896006326611,33,12,14,0,5,8,4,0,26,240,29,3,46,38,25,2,13,18,141,1,124,54,3,0,1,1,1,9,7,0,1,0,2,10,22,2,972,88,2,0,3,19,35,2,103,241,4,0,8,24,17,6,9,16,22,0,0,8,3,0,21,7,1,23
2,1.0619522214624209,0.6652354160497483,0.8391448836191787,0.6990905496243575,63,57,39,1,12,27,19,0,9,224,15,1,29,20,16,1,7,10,146,1,80,36,5,0,1,4,5,17,12,1,3,0,1,9,24,1,1002,79,2,0,3,9,23,0,135,278,3,0,2,10,7,2,3,7,14,0,0,9,3,0,14,4,0,24
3,0.9107711541437642,0.703484354950153,0.8409502190203005,0.675365757216291,64,64,31,1,10,22,27,0,5,196,8,0,19,7,7,0,12,23,179,1,119,54,7,0,1,8,5,20,22,5,2,0,0,7,14,1,907,56,0,0,3,12,19,0,198,302,3,1,1,16,4,0,1,3,16,0,0,6,2,0,11,3,0,24
4,0.7913618005709944,0.7390188530253676,0.7219868012556284,0.7374456306840649,51,14,12,0,6,15,3,0,8,243,12,0,22,11,11,0,14,11,179,1,66,38,8,0,1,5,2,22,12,2,3,0,1,14,20,0,1020,81,0,0,3,8,18,0,144,294,5,0,8,27,15,0,2,5,31,0,0,10,4,0,15,6,1,25
5,0.7046558078105964,0.754121014707334,0.693160521390175,0.7473309608540926,59,43,25,1,10,28,16,0,9,247,10,0,29,17,8,1,12,9,188,0,80,45,6,0,1,8,1,21,19,3,1,0,0,9,17,1,1061,89,1,0,2,2,12,0,83,261,1,0,3,11,7,0,2,8,29,0,0,3,2,0,3,1,0,24
6,0.6348855279863334,0.7787483960122397,0.6780187031847067,0.7520759193357058,56,39,12,1,7,15,10,0,5,221,4,0,17,5,3,1,18,25,208,1,92,48,8,0,0,3,0,20,3,1,1,0,0,13,14,1,1033,75,0,0,2,7,13,0,130,302,2,0,5,21,9,0,2,5,38,0,0,3,2,0,3,1,0,24
7,0.557390193719582,0.7930609021814233,0.6245631647468226,0.7781731909845789,62,28,24,1,11,17,9,0,6,272,7,0,33,15,10,1,11,9,197,1,83,45,6,0,0,2,0,20,4,0,1,0,0,6,11,1,1079,88,0,0,1,4,11,0,70,279,1,0,6,9,10,0,4,8,35,0,0,2,2,0,3,0,0,24
8,0.5067260392883896,0.8114203928536176,0.6889629077538996,0.7489126136812969,49,13,9,1,6,7,4,0,9,276,9,0,36,19,6,1,22,18,217,0,138,57,9,0,0,2,0,21,6,1,2,0,0,6,8,1,972,61,0,0,1,3,8,0,122,295,1,0,5,12,10,0,2,9,40,0,0,2,1,0,5,3,0,24
9,0.4524184800276292,0.827509623926562,0.6368721127038701,0.7678924476077501,59,38,17,1,9,16,7,0,4,247,5,0,25,11,8,1,18,16,215,0,100,58,13,0,0,3,0,22,10,3,1,0,0,9,13,0,1073,87,0,0,0,2,6,0,67,270,1,0,5,14,4,0,0,5,32,0,0,3,2,0,3,2,0,24
10,0.4165832310949558,0.8381206198795775,0.5681457211638732,0.7912218268090154,58,21,12,1,9,9,3,0,7,258,7,0,21,7,5,1,12,9,204,0,54,25,11,0,0,1,0,20,1,0,1,0,0,12,14,2,1072,78,0,0,5,18,17,0,126,329,6,0,4,10,6,0,0,4,36,0,0,3,2,0,4,0,0,24
11,0.3609762265283606,0.8521370052314677,0.5938162098938107,0.7880585211546066,67,35,19,1,10,16,9,0,6,266,8,0,28,16,2,1,7,3,195,0,57,24,2,0,0,2,0,21,8,2,1,0,0,5,14,1,1063,75,0,0,0,5,14,0,111,310,1,0,6,13,11,0,6,9,47,0,0,3,1,0,4,0,0,24
12,0.3239051348447664,0.8632415358799723,0.5189230606805411,0.8102016607354685,39,7,4,1,3,3,2,0,8,272,4,0,14,7,4,1,22,9,209,0,45,26,6,0,0,4,0,21,6,2,1,0,1,16,18,1,1140,110,1,0,4,7,16,0,77,297,1,0,12,16,11,0,1,7,47,0,0,1,0,0,1,0,0,24
